K80,,
VM name,Start,Terminate
a-europe-west1-b-0,2/18/19 23:40,2/19/19 23:46
a-europe-west1-b-1,2/18/19 23:40,2/19/19 23:46
a-europe-west1-b-2,2/18/19 23:40,2/19/19 14:58
a-europe-west1-b-3,2/18/19 23:40,2/19/19 14:58
a-europe-west1-b-4,2/19/19 12:07,2/19/19 12:39
a-europe-west1-b-5,2/19/19 12:07,2/20/19 12:13
a-europe-west1-b-6,2/19/19 12:07,2/20/19 12:13
a-europe-west1-b-7,2/19/19 12:08,2/20/19 12:13
a-us-central1-c-0,2/18/19 23:39,2/19/19 23:18
a-us-central1-c-1,2/18/19 23:39,2/19/19 23:18
a-us-central1-c-2,2/18/19 23:40,2/19/19 23:46
a-us-central1-c-3,2/18/19 23:40,2/19/19 23:18
a-us-central1-c-4,2/19/19 12:07,2/19/19 18:32
a-us-central1-c-5,2/19/19 12:07,2/20/19 08:28
a-us-central1-c-6,2/19/19 12:07,2/19/19 12:32
a-us-central1-c-7,2/19/19 12:07,2/20/19 12:42
a-us-east1-c-0,2/18/19 23:39,2/19/19 23:44
a-us-east1-c-1,2/18/19 23:39,2/19/19 23:44
a-us-east1-c-2,2/18/19 23:39,2/19/19 23:44
a-us-east1-c-3,2/18/19 23:39,2/19/19 23:44
a-us-east1-c-4,2/19/19 12:07,2/20/19 12:20
a-us-east1-c-5,2/19/19 12:07,2/20/19 12:20
a-us-east1-c-6,2/19/19 12:07,2/20/19 12:20
a-us-east1-c-7,2/19/19 12:07,2/20/19 12:20
a-us-west1-b-0,2/18/19 23:40,2/20/19 00:02
a-us-west1-b-1,2/18/19 23:40,2/20/19 00:02
a-us-west1-b-2,2/18/19 23:40,2/20/19 00:02
a-us-west1-b-3,2/18/19 23:40,2/20/19 00:02
a-us-west1-b-4,2/19/19 12:07,2/20/19 12:11
a-us-west1-b-5,2/19/19 12:07,2/20/19 12:11
a-us-west1-b-6,2/19/19 12:07,2/20/19 12:11
a-us-west1-b-7,2/19/19 12:07,2/20/19 12:11
a-europe-west1-b-0less,2/18/19 23:40,2/19/19 23:46
a-europe-west1-b-1less,2/18/19 23:40,2/19/19 23:46
a-europe-west1-b-2less,2/18/19 23:40,2/19/19 23:46
a-europe-west1-b-3less,2/18/19 23:40,2/19/19 23:46
a-europe-west1-b-4less,2/19/19 12:08,2/20/19 12:13
a-europe-west1-b-5less,2/19/19 12:08,2/19/19 14:58
a-europe-west1-b-6less,2/19/19 12:08,2/19/19 12:08
a-europe-west1-b-7less,2/19/19 12:08,2/19/19 13:04
a-us-central1-c-0less,2/18/19 23:40,2/19/19 06:37
a-us-central1-c-1less,2/18/19 23:40,2/19/19 06:30
a-us-central1-c-2less,2/18/19 23:40,2/18/19 23:57
a-us-central1-c-3less,2/18/19 23:40,2/19/19 06:29
a-us-central1-c-4less,2/19/19 12:07,2/20/19 01:20
a-us-central1-c-5less,2/19/19 12:07,2/19/19 14:36
a-us-central1-c-6less,2/19/19 12:07,2/19/19 17:51
a-us-central1-c-7less,2/19/19 12:07,2/19/19 18:32
a-us-east1-c-0less,2/18/19 23:39,2/19/19 23:44
a-us-east1-c-1less,2/18/19 23:39,2/19/19 23:44
a-us-east1-c-2less,2/18/19 23:39,2/19/19 23:44
a-us-east1-c-3less,2/18/19 23:39,2/19/19 23:44
a-us-east1-c-4less,2/19/19 12:07,2/20/19 12:20
a-us-east1-c-5less,2/19/19 12:07,2/20/19 12:20
a-us-east1-c-6less,2/19/19 12:07,2/20/19 12:20
a-us-east1-c-7less,2/19/19 12:07,2/20/19 12:20
a-us-west1-b-0less,2/18/19 23:40,2/20/19 00:02
a-us-west1-b-1less,2/18/19 23:40,2/20/19 00:02
a-us-west1-b-2less,2/18/19 23:40,2/20/19 00:02
a-us-west1-b-3less,2/18/19 23:40,2/20/19 00:02
a-us-west1-b-4less,2/19/19 12:07,2/20/19 12:11
a-us-west1-b-5less,2/19/19 12:07,2/20/19 12:11
a-us-west1-b-6less,2/19/19 12:07,2/20/19 12:11
a-us-west1-b-7less,2/19/19 12:07,2/20/19 12:11
P100,,
VM name,Start,Terminate
a-p100-europe-west1-b-0,2/19/19 22:53,2/20/19 23:01
a-p100-europe-west1-b-1,2/19/19 22:53,2/20/19 09:50
a-p100-europe-west1-b-3,2/20/19 09:38,2/21/19 05:16
a-p100-europe-west1-b-4,2/20/19 09:38,2/21/19 09:44
a-p100-europe-west1-b-5,2/20/19 09:38,2/21/19 09:44
a-p100-us-central1-c-0,2/19/19 22:53,2/20/19 23:34
a-p100-us-central1-c-1,2/19/19 22:53,2/20/19 23:34
a-p100-us-central1-c-3,2/20/19 09:38,2/21/19 10:19
a-p100-us-central1-c-4,2/20/19 09:38,2/21/19 10:20
a-p100-us-central1-c-5,2/20/19 09:38,2/21/19 10:19
a-p100-us-east1-c-0,2/19/19 22:53,2/20/19 22:57
a-p100-us-east1-c-1,2/19/19 22:53,2/20/19 05:32
a-p100-us-east1-c-3,2/20/19 09:38,2/21/19 09:41
a-p100-us-east1-c-4,2/20/19 09:38,2/21/19 09:41
a-p100-us-east1-c-5,2/20/19 09:38,2/21/19 09:41
a-p100-us-west1-b-0,2/19/19 22:53,2/20/19 22:59
a-p100-us-west1-b-1,2/19/19 22:53,2/20/19 22:59
a-p100-us-west1-b-3,2/20/19 09:38,2/20/19 14:26
a-p100-us-west1-b-4,2/20/19 09:38,2/20/19 14:26
a-p100-us-west1-b-5,2/20/19 09:38,2/20/19 14:26
a-p100-europe-west1-b-0less,2/19/19 22:53,2/20/19 05:35
a-p100-europe-west1-b-1less,2/19/19 22:54,2/20/19 23:01
a-p100-europe-west1-b-3less,2/20/19 09:38,2/21/19 09:44
a-p100-europe-west1-b-4less,2/20/19 09:38,2/21/19 09:44
a-p100-europe-west1-b-5less,2/20/19 09:30,2/21/19 09:44
a-p100-us-central1-c-0less,2/19/19 22:53,2/20/19 23:33
a-p100-us-central1-c-1less,2/19/19 22:53,2/20/19 23:33
a-p100-us-central1-c-3less,2/20/19 09:38,2/21/19 10:19
a-p100-us-central1-c-4less,2/20/19 09:38,2/21/19 10:19
a-p100-us-central1-c-5less,2/20/19 09:38,2/21/19 10:19
a-p100-us-east1-c-0less,2/19/19 22:53,2/20/19 22:57
a-p100-us-east1-c-1less,2/19/19 22:53,2/20/19 22:57
a-p100-us-east1-c-3less,2/20/19 09:38,2/21/19 09:41
a-p100-us-east1-c-4less,2/20/19 09:38,2/21/19 09:41
a-p100-us-east1-c-5less,2/20/19 09:38,2/21/19 09:41
a-p100-us-west1-b-0less,2/19/19 22:53,2/20/19 22:59
a-p100-us-west1-b-1less,2/19/19 22:53,2/20/19 22:59
a-p100-us-west1-b-3less,2/20/19 09:38,2/20/19 14:26
a-p100-us-west1-b-4less,2/20/19 09:38,2/21/19 10:01
a-p100-us-west1-b-5less,2/20/19 09:38,2/21/19 10:01
V100,,
a-v100-asia-east1-c-0,2/21/19 20:20,2/22/19 20:24
a-v100-asia-east1-c-1,2/21/19 20:20,2/22/19 20:24
a-v100-asia-east1-c-2,2/21/19 20:20,2/22/19 20:24
a-v100-asia-east1-c-3,2/21/19 20:20,2/22/19 20:24
a-v100-asia-east1-c-4,2/21/19 20:20,2/22/19 20:24
a-v100-asia-east1-c-5,2/22/19 22:13,2/22/19 23:47
a-v100-asia-east1-c-6,2/22/19 22:14,2/23/19 22:26
a-v100-asia-east1-c-7,2/22/19 22:14,2/23/19 22:26
a-v100-asia-east1-c-8,2/22/19 22:14,2/23/19 00:55
a-v100-asia-east1-c-9,2/22/19 22:14,2/23/19 22:26
a-v100-europe-west4-a-0,2/21/19 20:20,2/22/19 20:56
a-v100-europe-west4-a-1,2/21/19 20:20,2/22/19 20:26
a-v100-europe-west4-a-2,2/21/19 20:20,2/22/19 20:26
a-v100-europe-west4-a-3,2/21/19 20:20,2/22/19 19:24
a-v100-europe-west4-a-4,2/21/19 20:21,2/22/19 20:26
a-v100-europe-west4-a-5,2/22/19 22:14,2/23/19 22:22
a-v100-europe-west4-a-6,2/22/19 22:14,2/23/19 22:22
a-v100-europe-west4-a-7,2/22/19 22:14,2/23/19 22:22
a-v100-europe-west4-a-8,2/22/19 22:14,2/23/19 22:22
a-v100-europe-west4-a-9,2/22/19 22:14,2/23/19 22:22
a-v100-us-central1-a-0,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-1,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-2,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-3,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-4,2/21/19 20:20,2/22/19 21:03
a-v100-asia-east1-c-0less,2/21/19 20:20,2/22/19 20:24
a-v100-asia-east1-c-1less,2/21/19 20:20,2/22/19 20:24
a-v100-asia-east1-c-2less,2/21/19 20:20,2/22/19 20:24
a-v100-asia-east1-c-3less,2/21/19 20:20,2/22/19 20:24
a-v100-asia-east1-c-4less,2/21/19 20:20,2/21/19 21:43
a-v100-asia-east1-c-5less,2/22/19 22:14,2/23/19 22:26
a-v100-asia-east1-c-6less,2/22/19 22:14,2/23/19 22:26
a-v100-asia-east1-c-7less,2/22/19 22:14,2/23/19 22:26
a-v100-asia-east1-c-8less,2/22/19 22:14,2/23/19 22:26
a-v100-europe-west4-a-0less,2/21/19 20:21,2/22/19 20:26
a-v100-europe-west4-a-1less,2/21/19 20:21,2/22/19 20:26
a-v100-europe-west4-a-2less,2/21/19 20:21,2/22/19 19:24
a-v100-europe-west4-a-3less,2/21/19 20:21,2/22/19 20:26
a-v100-europe-west4-a-4less,2/21/19 20:21,2/22/19 20:26
a-v100-europe-west4-a-5less,2/22/19 22:14,2/23/19 22:22
a-v100-europe-west4-a-6less,2/22/19 22:14,2/23/19 22:22
a-v100-europe-west4-a-7less,2/22/19 22:14,2/23/19 22:22
a-v100-europe-west4-a-8less,2/22/19 22:14,2/23/19 22:22
a-v100-us-central1-a-0less,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-1less,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-2less,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-3less,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-4less,2/21/19 20:20,2/22/19 21:03
Previous experiments,,
8-May,created,terminated
test0,09:49:51,10:28:22
test0less,09:49:53,11:32:09
test1,09:49:53,18:32:20
test1less,09:49:56,10:52:12
test2,09:50:57,13:00:10
test2less,09:50:59,11:56:14
test3,09:51:04,18:16:22
test3less,09:51:00,12:36:20
test4,09:52:01,21:16:25
test4less,09:52:02,15:20:16
test5,09:52:31,11:56:14
test5less,09:52:16,15:12:04
test0night,21:37:18,09:12:26
test0lessnight,21:37:20,21:41:17
test1night,21:37:40,04:32:10
test1lessnight,21:37:22,22:36:15
test2night,21:38:23,23:52:10
test2lessnight,21:38:22,21:41:18
test3night,21:38:32,21:41:18
test3lessnight,21:38:25,10:00:11
test4night,21:39:35,21:41:10
test4lessnight,21:39:36,01:52:09
test5night,21:39:42,21:41:17
test5lessnight,21:39:34,21:41:16
9-May,,
test0,09:15:04,09:36:05
test0less,09:14:57,09:36:04
test1,09:14:58,09:36:04
test1less,09:15:04,09:36:03
test2,09:16:08,09:36:03
test2less,09:16:07,09:36:04
test3,09:16:14,10:44:24
test3less,09:16:28,09:36:05
test4,09:17:18,09:36:04
test4less,09:17:31,09:36:05
test5,09:17:21,09:36:03
test5less,09:17:15,09:36:03
test0night,22:02:21,22:28:09
test0lessnight,22:02:20,22:09:34
test1night,22:02:20,22:09:44
test1lessnight,22:02:20,22:09:33
test2night,22:03:11,22:09:27
test2lessnight,22:03:09,22:09:35
test3night,22:03:17,22:09:34
test3lessnight,22:03:16,22:09:33
test4night,22:04:29,22:09:28
test4lessnight,22:04:28,22:09:34
test5night,22:04:28,22:09:28
test5lessnight,22:04:24,22:09:34
10-May,,
test0,09:52:06,10:07:32
test0less,09:52:06,10:07:32
test1,09:52:07,10:07:32
test1less,09:52:07,10:07:38
test2,09:53:12,10:07:37
test2less,09:53:34,10:07:31
test3,09:53:19,10:07:31
test3less,09:53:19,10:07:32
test4,09:54:17,10:07:32
test4less,09:54:27,10:07:31
test5,09:54:27,10:07:32
test5less,09:54:28,22:44:11
test0night,22:16:35,00:40:17
test0lessnight,22:16:45,22:36:33
test1night,22:16:44,22:36:32
test1lessnight,22:16:45,22:36:33
test2night,22:17:26,22:36:34
test2lessnight,22:17:27,22:36:33
test3night,22:17:58,22:36:33
test3lessnight,22:17:38,22:36:34
test4night,22:18:39,10:48:18
test4lessnight,22:18:37,22:36:33
test5night,22:18:44,22:36:34
test5lessnight,22:18:38,22:36:33
11-May,,
test0,10:14:24,10:38:37
test0less,10:14:34,10:38:37
test1,10:14:34,10:38:38
test1less,10:14:29,10:38:36
test2,10:15:36,10:38:37
test2less,10:15:37,12:31:52
test3,10:15:56,10:38:36
test3less,10:16:03,10:38:38
test4,10:17:06,10:38:37
test4less,10:16:41,10:38:36
test5,10:16:49,10:38:36
test5less,10:16:52,10:38:37
test0night,22:41:29,23:06:46
test0lessnight,22:41:01,23:06:45
test1night,22:41:11,23:06:40
test1lessnight,22:41:12,23:06:45
test2night,22:42:06,23:06:44
test2lessnight,22:42:13,23:06:45
test3night,22:42:07,23:06:46
test3lessnight,22:42:10,23:06:46
test4night,22:43:10,23:06:45
test4lessnight,22:43:17,23:06:46
test5night,22:43:22,23:06:45
test5lessnight,22:43:22,23:06:45
12-May,,
test0,10:49:27,10:56:11
test0less,10:49:39,10:56:12
test1,10:49:32,10:56:11
test1less,10:49:37,10:56:12
test2,10:50:38,10:56:12
test2less,10:50:41,10:56:11
test3,10:50:49,10:56:12
test3less,10:50:49,10:56:12
test4,10:51:51,10:56:11
test4less,10:51:51,10:56:12
test5,10:51:57,10:56:06
test5less,10:51:54,10:56:12
test0night,23:14:05,23:38:27
test0lessnight,23:13:41,23:38:32
test1night,23:13:42,23:38:26
test1lessnight,23:14:04,23:38:26
test2night,23:14:50,23:38:26
test2lessnight,23:14:51,23:38:33
test3night,23:15:15,23:38:33
test3lessnight,23:14:52,23:38:26
test4night,23:15:54,23:38:26
test4lessnight,23:16:15,23:38:26
test5night,23:15:50,23:38:27
test5lessnight,23:15:58,23:38:27
13-May,,
test0,11:04:12,11:27:15
test0less,11:04:13,11:27:16
test1,11:04:09,11:27:16
test1less,11:04:12,11:27:16
test2,11:05:20,11:27:15
test2less,11:05:12,11:27:16
test3,11:05:19,11:27:16
test3less,11:05:15,11:27:15
test4,11:06:29,11:27:15
test4less,11:06:21,11:27:16
test5,11:06:51,11:27:16
test5less,11:06:31,11:27:16
14-May,,
test0,13:21:45,13:36:05
test0less,13:21:52,13:36:06
test1,13:21:56,13:36:05
test1less,13:21:49,13:36:06
test2,13:23:07,13:36:01
test2less,13:22:58,13:36:06
test3,13:23:00,13:36:05
test3less,13:23:07,13:36:05
test4,13:23:58,13:36:06
test4less,1046389:24:27,1046391:54:31
test5,13:24:20,13:36:05
test5less,13:24:28,13:36:05
test0night,20:02:22,20:04:23
test0lessnight,20:02:51,20:04:30
test1night,1046396:02:20,1046419:28:13
test1lessnight,20:02:27,20:04:24
test2night,20:03:32,20:04:29
test2lessnight,20:03:37,20:04:23
test3night,20:03:30,20:04:17
test3lessnight,20:03:36,20:04:22
test4night,20:04:30,20:32:42
test4lessnight,20:04:35,20:32:33
test5night,20:04:42,20:32:35
test5lessnight,20:04:42,20:32:35
16-May,,
test0,1046434:50:07,1046435:48:20
test0less,10:49:50,10:50:45
test1,1046434:49:50,1046435:00:24
test1less,1046434:49:45,1046435:28:17
test2,1046434:49:48,1046435:36:13
test2less,1046434:49:48,1046435:36:13
test3,10:49:56,10:50:46
test3less,10:49:51,10:50:41
test4,1046434:51:28,1046435:52:16
test4less,10:51:28,11:19:00
test5,1046434:51:20,1046437:00:23
test5less,10:51:28,11:18:59
test6,1046434:51:54,1046438:16:12
test6less,1046434:51:37,1046436:00:22
test7,10:51:35,11:18:59
test7less,10:51:33,11:18:59
test8,10:52:55,11:18:59
test8less,1046434:53:05,1046439:28:17
test9,10:53:02,11:18:59
test9less,10:52:59,11:18:59
test10,10:53:10,11:18:59
test10less,10:53:11,11:18:59
test11,10:53:04,11:19:00
test11less,1046434:53:04,1046446:04:15
17-May,,
test0,11:26:48,11:45:32
test0less,11:26:40,11:45:33
test1,11:27:09,11:45:31
test1less,11:26:56,11:45:31
test2,11:27:02,11:45:31
test2less,11:26:51,11:45:32
test3,11:26:48,11:45:31
test3less,11:27:14,11:45:33
test4,11:28:27,11:45:32
test4less,11:28:28,11:45:32
test5,11:28:40,11:45:31
test5less,11:28:28,11:45:32
test6,1046459:28:30,1046460:24:10
test6less,11:28:28,11:45:32
test7,1046459:28:36,1046465:52:23
test7less,11:28:48,11:45:32
test8,11:30:00,11:45:31
test8less,11:30:01,11:45:32
test9,11:30:20,11:45:33
test9less,11:30:08,11:45:33
test10,11:30:01,11:45:33
test10less,1046459:30:26,1046465:12:57
test11,1046459:30:12,1046465:52:17
test11less,11:30:12,11:45:32
4-Jun,,
test0,14:04:47,14:15:18
test0less,14:04:47,14:15:17
test1,14:04:40,14:15:17
test1less,14:05:28,14:15:16
test2,14:04:44,14:15:18
test2less,14:04:45,14:15:11
test3,14:05:00,14:15:09
test3less,1046894:05:00,1046894:09:55
test4,14:06:46,14:15:17
test4less,1046894:06:43,1046894:09:55
test5,14:06:52,14:15:11
test5less,14:06:48,14:15:18
test6,14:06:54,14:15:09
test6less,1046894:06:53,1046894:09:54
test7,14:06:51,14:15:18
test7less,14:07:06,14:15:16
test8,1046894:08:45,1046916:32:51
test8less,14:08:44,14:15:16
test9,14:08:45,14:15:17
test9less,14:08:51,14:15:10
test10,14:08:51,14:15:16
test10less,14:08:52,14:15:09
test11,1046894:08:46,1046904:25:26
test11less,14:08:46,14:15:12
5-Jun,,
test0,15:48:51,15:53:41
test0less,15:49:11,15:53:49
test1,15:48:47,15:53:48
test1less,15:48:48,15:53:48
test2,15:48:57,15:53:48
test2less,15:48:57,15:53:48
test3,1046919:48:52,1046921:18:51
test3less,15:49:04,15:53:48
test4,1046919:50:52,1046940:43:47
test4less,15:50:40,15:53:47
test5,15:50:41,15:53:48
test5less,15:50:33,15:53:49
test6,15:50:41,15:53:47
test6less,15:50:55,15:53:48
test7,15:50:54,15:53:47
test7less,15:50:38,15:53:47
test8,1046919:52:14,1046923:28:35
test8less,15:52:21,15:53:47
test9,15:52:27,15:53:48
test9less,15:52:28,15:53:47
test10,15:52:21,15:53:48
test10less,15:52:28,15:53:47
test11,15:52:23,15:53:39
test11less,15:52:36,15:53:48
6-Jun,,
test0,1046944:11:08,1046945:39:20
test0less,16:11:01,16:16:48
test1,1046944:11:30,1046955:04:10
test1less,16:11:13,16:16:48
test2,1046944:11:06,1046955:35:56
test2less,16:11:07,16:16:48
test3,1046944:11:51,1046966:10:47
test3less,1046944:11:25,1046957:42:34
test4,16:13:02,16:16:48
test4less,1046944:12:53,1046955:26:47
test5,1046944:13:02,1046944:50:59
test5less,1046944:13:07,1046945:04:22
test6,16:12:59,16:16:41
test6less,16:13:08,16:16:48
test7,16:13:02,16:16:47
test7less,16:13:16,16:16:47
test8,1046944:14:44,1046951:03:23
test8less,16:14:48,16:16:49
test9,16:15:26,16:16:47
test9less,16:14:59,16:16:49
test10,16:14:51,16:16:47
test10less,16:14:54,16:16:47
test11,16:14:55,16:16:49
test11less,16:15:09,16:16:42
7-Jun,,
us-central1-a,,
gpu0,10:46:09,11:10:49
gpu1,10:46:20,10:49:46
gpu2,10:46:15,10:49:46
gpu3,10:46:19,10:49:45
gpu4,10:46:16,11:38:59
gpu5,10:46:19,10:49:45
gpu6,10:46:26,11:10:42
gpu7,10:46:24,13:21:37
us-west1-b,,
gpu8,10:46:17,10:57:45
gpu9,10:46:19,10:55:35
gpu10,10:46:22,22:41:44
gpu11,10:46:21,02:41:34
gpu12,10:46:23,13:20:35
gpu13,10:46:31,13:53:53
gpu14,10:46:28,06:55:09
gpu15,10:46:31,10:49:36
8-Jun,,
test0,09:50:16,10:22:47
test0less,09:50:15,10:22:39
test1,09:50:15,10:22:46
test1less,09:50:15,10:22:46
test2,09:50:22,10:22:46
test2less,09:50:20,10:22:45
test3,1046985:50:22,1047004:26:50
test3less,09:50:27,10:22:47
test4,09:51:59,10:22:47
test4less,09:52:01,10:22:39
test5,1046985:52:02,1046996:08:07
test5less,09:52:00,10:22:45
test6,09:52:20,10:22:45
test6less,09:52:07,10:22:38
test7,09:52:07,10:22:47
test7less,09:52:07,10:22:38
test8,09:53:33,10:22:46
test8less,09:53:38,10:22:39
test9,09:53:39,10:22:47
test9less,09:53:38,10:22:45
test10,09:54:10,10:22:46
test10less,09:53:42,10:22:45
test11,1046985:53:42,1046991:04:09
test11less,09:53:47,10:22:52
us-central1-a,,
gpu0,11:10:09,11:26:13
gpu1,11:10:25,11:26:16
gpu2,11:10:11,11:26:15
gpu3,11:10:22,11:26:15
gpu4,11:10:16,11:26:14
gpu5,11:10:43,11:26:15
gpu6,11:10:40,11:26:14
gpu7,11:10:41,11:26:15
us-west1-b,,
gpu8,11:10:22,13:35:24
gpu9,11:10:27,13:36:55
gpu10,11:10:30,11:31:19
gpu11,11:10:26,11:31:19
gpu12,11:10:33,13:37:26
gpu13,11:10:30,13:37:25
gpu14,11:10:37,11:31:18
gpu15,11:10:38,11:31:17
9-Jun,,
test0,11:33:45,11:48:42
test0less,11:33:47,11:48:42
test1,11:33:46,11:48:35
test1less,11:33:52,11:48:36
test2,11:33:53,11:48:36
test2less,11:33:52,11:48:36
test3,11:33:52,11:48:35
test3less,11:33:59,11:48:29
test4,11:35:31,11:48:35
test4less,11:35:30,11:48:35
test5,11:35:31,11:48:29
test5less,11:35:31,11:48:29
test6,11:35:37,11:48:35
test6less,11:35:39,11:48:36
test7,11:35:38,11:48:36
test7less,11:35:38,11:48:43
test8,11:37:24,11:48:36
test8less,11:37:53,11:48:36
test9,11:37:32,11:48:36
test9less,11:37:25,11:48:37
test10,11:37:26,11:48:36
test10less,11:37:33,11:48:36
test11,11:37:59,11:48:36
test11less,11:37:32,11:48:35
us-central1-a,,
gpu0,11:39:54,01:52:48
gpu1,11:39:54,03:37:46
gpu2,11:39:53,03:37:47
gpu3,11:39:54,03:37:47
gpu4,11:39:53,03:37:53
gpu5,11:40:04,03:27:35
gpu6,11:40:04,03:37:55
gpu7,11:40:02,03:37:47
us-west1-b,,
gpu8,11:39:53,11:52:34
gpu9,11:39:55,11:52:34
gpu10,11:40:02,11:52:34
gpu11,11:40:04,11:52:34
gpu12,11:40:00,11:52:34
gpu13,11:40:00,11:52:34
gpu14,11:40:12,11:52:34
gpu15,11:40:13,11:52:34
10-Jun,,
test0,12:26:06,12:33:43
test0less,12:26:06,12:33:50
test1,12:26:06,12:33:56
test1less,12:26:36,12:33:50
test2,12:26:11,12:33:50
test2less,12:26:10,12:33:44
test3,12:26:36,12:33:50
test3less,12:26:16,12:33:44
test4,12:27:52,12:33:49
test4less,12:27:57,12:33:50
test5,12:27:57,12:33:51
test5less,12:27:56,12:33:50
test6,12:28:22,12:33:50
test6less,12:28:02,12:33:50
test7,12:28:02,12:33:43
test7less,12:28:01,12:33:49
test8,12:29:38,12:33:44
test8less,12:29:37,12:33:44
test9,12:29:38,12:33:51
test9less,12:29:38,12:33:49
test10,12:29:39,12:33:43
test10less,12:29:38,12:33:49
test11,12:29:38,12:33:49
test11less,12:29:45,12:33:44
us-central1-a,,
gpu0,12:31:54,13:29:38
gpu1,12:31:55,13:29:38
gpu2,12:31:43,13:29:38
gpu3,12:31:43,13:29:38
gpu4,12:31:47,13:29:38
gpu5,12:31:50,13:29:38
gpu6,12:32:01,13:29:38
gpu7,12:31:51,11:46:58
us-west1-b,,
gpu8,12:31:56,12:39:08
gpu9,12:31:57,12:39:08
gpu10,12:31:57,12:39:08
gpu11,12:31:59,12:39:12
gpu12,12:32:00,12:39:12
gpu13,12:32:05,12:39:08
gpu14,12:32:04,12:39:08
gpu15,12:32:08,12:39:09